排名,电影名,电影详情,电影评分,评价人数,点评
1,肖申克的救赎/TheShawshankRedemption/月黑高飞(港)/刺激1995(台),导演:弗兰克·德拉邦特FrankDarabont主演:蒂姆·罗宾斯TimRobbins/...1994/美国/犯罪剧情,9.6,1017215,希望让人自由。
2,霸王别姬/再见，我的妾/FarewellMyConcubine,导演:陈凯歌KaigeChen主演:张国荣LeslieCheung/张丰毅FengyiZha...1993/中国大陆香港/剧情爱情同性,9.5,739793,风华绝代。
3,这个杀手不太冷/Léon/杀手莱昂/终极追杀令(台),导演:吕克·贝松LucBesson主演:让·雷诺JeanReno/娜塔莉·波特曼...1994/法国/剧情动作犯罪,9.4,954476,怪蜀黍和小萝莉不得不说的故事。
4,阿甘正传/ForrestGump/福雷斯特·冈普,导演:RobertZemeckis主演:TomHanks/RobinWrightPenn/GarySinise1994/美国/剧情爱情,9.4,811907,一部美国近现代史。
5,美丽人生/Lavitaèbella/一个快乐的传说(港)/LifeIsBeautiful,导演:罗伯托·贝尼尼RobertoBenigni主演:罗伯托·贝尼尼RobertoBeni...1997/意大利/剧情喜剧爱情战争,9.5,474278,最美的谎言。
6,千与千寻/千と千尋の神隠し/神隐少女(台)/SpiritedAway,导演:宫崎骏HayaoMiyazaki主演:柊瑠美RumiHîragi/入野自由Miy...2001/日本/剧情动画奇幻,9.3,759978,最好的宫崎骏，最好的久石让。
7,泰坦尼克号/Titanic/铁达尼号(港/台),导演:詹姆斯·卡梅隆JamesCameron主演:莱昂纳多·迪卡普里奥Leonardo...1997/美国/剧情爱情灾难,9.3,751572,失去的才是永恒的。
8,辛德勒的名单/Schindler'sList/舒特拉的名单(港)/辛德勒名单,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:连姆·尼森LiamNeeson...1993/美国/剧情历史战争,9.4,431760,拯救一个人，就是拯救整个世界。
9,盗梦空间/Inception/潜行凶间(港)/全面启动(台),导演:克里斯托弗·诺兰ChristopherNolan主演:莱昂纳多·迪卡普里奥Le...2010/美国英国/剧情科幻悬疑冒险,9.3,851127,诺兰给了我们一场无法盗取的梦。
10,机器人总动员/WALL·E/瓦力(台)/太空奇兵·威E(港),导演:安德鲁·斯坦顿AndrewStanton主演:本·贝尔特BenBurtt/艾丽...2008/美国/爱情科幻动画冒险,9.3,558157,小瓦力，大人生。
11,海上钢琴师/Laleggendadelpianistasull'oceano/声光伴我飞(港)/一九零零的传奇,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:蒂姆·罗斯TimRoth/...1998/意大利/剧情音乐,9.2,656141,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
12,三傻大闹宝莱坞/3Idiots/三个傻瓜(台)/作死不离3兄弟(港),导演:拉库马·希拉尼RajkumarHirani主演:阿米尔·汗AamirKhan/卡...2009/印度/剧情喜剧爱情歌舞,9.2,765107,英俊版憨豆，高情商版谢耳朵。
13,忠犬八公的故事/Hachi:ADog'sTale/忠犬小八(台)/秋田犬八千(港),导演:莱塞·霍尔斯道姆LasseHallström主演:理查·基尔RichardGer...2009/美国英国/剧情,9.2,527498,永远都不能忘记你所爱的人。
14,放牛班的春天/Leschoristes/歌声伴我心(港)/唱诗班男孩,导演:克里斯托夫·巴拉蒂ChristopheBarratier主演:杰拉尔·朱诺Géra...2004/法国瑞士德国/剧情音乐,9.2,511369,天籁一般的童声，是最接近上帝的存在。
15,大话西游之大圣娶亲/西遊記大結局之仙履奇緣/西游记完结篇仙履奇缘/齐天大圣西游记,导演:刘镇伟JeffreyLau主演:周星驰StephenChow/吴孟达ManTatNg...1995/香港中国大陆/喜剧爱情奇幻冒险,9.2,559249,一生所爱。
16,楚门的世界/TheTrumanShow/真人Show(港)/真人戏,导演:彼得·威尔PeterWeir主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...1998/美国/剧情科幻,9.1,530799,如果再也不能见到你，祝你早安，午安，晚安。
